name,rating,user_ratings_total,address,price_level,url
Australian Cruise Group,4.6,200,"32 The Promenade, King Street Wharf 5, Sydney NSW 2000, Australia",,https://maps.google.com/?cid=3292831917685799941
Wilhelmina's,4.6,112,"Shop 4/332 Darling St, Balmain NSW 2041, Australia",2,https://maps.google.com/?cid=5385951884916334460
Purumiru,4.6,56,"371A Darling St, Balmain NSW 2041, Australia",,https://maps.google.com/?cid=5342504276968491457
Sofie's Greek Restaurant,4.6,120,"Level 1/386 Darling St, Balmain NSW 2041, Australia",2,https://maps.google.com/?cid=9955172308713978396
Souks Mediterranean street Food,4.6,172,"190 Harris St, Sydney NSW 2009, Australia",2,https://maps.google.com/?cid=12065742964128193784
Bellevue Cottage By Antoine,4.6,142,"55 Leichhardt St, Glebe NSW 2037, Australia",,https://maps.google.com/?cid=9713715019787211131
Tetsuya's Restaurant,4.6,743,"529 Kent St, Sydney NSW 2000, Australia",4,https://maps.google.com/?cid=6381813325953859293
Arthur's Pizza Glebe,4.6,79,"196 Glebe Point Rd, Glebe NSW 2037, Australia",,https://maps.google.com/?cid=3120572085496537276
The Wild Rover,4.6,597,"75 Campbell St, Surry Hills NSW 2010, Australia",2,https://maps.google.com/?cid=16229507226107248401
Green Mushroom,4.6,241,"163 Glebe Point Rd, Glebe NSW 2037, Australia",2,https://maps.google.com/?cid=4711631537152333953
Tom Yum Tum Gang,4.6,715,"249 Glebe Point Rd, Glebe NSW 2037, Australia",1,https://maps.google.com/?cid=7247814775678374814
Al Taglio,4.6,314,"102-104 Albion St, Surry Hills NSW 2010, Australia",2,https://maps.google.com/?cid=8110001834570547305
Knox Street Bar,4.6,163,"21 Shepherd St, Chippendale NSW 2008, Australia",2,https://maps.google.com/?cid=2099954988712955569
Jambo Jambo African Restaurant,4.6,245,"93 Glebe Point Rd, Glebe NSW 2037, Australia",2,https://maps.google.com/?cid=17643005914676735861
Ahgora,4.6,221,"94 Glebe Point Rd, Glebe NSW 2037, Australia",2,https://maps.google.com/?cid=4722487706525021730
Chunoma109 Cafe,4.6,45,"109 Glebe Point Rd, Glebe NSW 2037, Australia",,https://maps.google.com/?cid=3813106994282771912
Pizza Da Noi,4.6,174,"4/198-206 St Johns Rd, Forest Lodge NSW 2037, Australia",1,https://maps.google.com/?cid=17529502969471765015
