"place_id","name","rating","user_ratings_total","address","website","price_level","url"
"ChIJ448GwSHPsGoRncLifjxLYcM","Cafe Outside The Square",4.7,87,"34 Whitmore Square, Adelaide SA 5000, Australia","https://www.cafeoutsidethesquare.org.au/",1,"https://maps.google.com/?cid=14078616633335792285"
"ChIJLxJm_gzPsGoRR21lh2QFw3w","Mr Panda Kitchen",4.7,49,"61 Wright St, Adelaide SA 5000, Australia",,,"https://maps.google.com/?cid=8990035210488081735"
"ChIJE2y8EP7OsGoRqG8dWAyrpJU","The Flying Trunk",4.7,60,"70 King William Rd, Goodwood SA 5034, Australia","https://www.theflyingtrunk.com.au/",,"https://maps.google.com/?cid=10782931477338091432"
"ChIJxWUKodfOsGoRhUck6-Y3pXc","Pizza e Mozzarella Bar",4.6,240,"33 Pirie St, Adelaide SA 5000, Australia","http://pizzaemozzarellabar.com.au/",2,"https://maps.google.com/?cid=8621358526597711749"
"ChIJwXbZjNbOsGoRL_xhEKUrcf4","Tan Coffee",4.6,40,"Adelaide SA 5000, Australia","https://www.ubereats.com/en-AU/adelaide/food-delivery/tan-coffee%3A-malaysian-sweet-%26-savoury-waffles/wxCMNA3dSUaz7GDvS_3obw/",1,"https://maps.google.com/?cid=18334483545946455087"
"ChIJ9dV4CCjPsGoRE-g2ryt4j14","Press* Food & Wine",4.6,370,"40 Waymouth St, Adelaide SA 5000, Australia","http://www.pressfoodandwine.com.au/",3,"https://maps.google.com/?cid=6813796890253387795"
"ChIJe33qU9bOsGoRXFLY34BIlwc","Borsa Pasta Cucina",4.6,255,"1/25 Grenfell St, Adelaide SA 5000, Australia","http://www.borsapastacucina.com/",2,"https://maps.google.com/?cid=546985598097314396"
"ChIJg1t_49fOsGoRi_F9lkWKbDA","Delicatessen Kitchen & Bar",4.6,175,"12 Waymouth St, Adelaide SA 5000, Australia","http://delicatessenbar.com.au/",2,"https://maps.google.com/?cid=3489315842787504523"
"ChIJo0uDfdDOsGoRJmHVfJVKVKo","Hey Bianca Pizza",4.6,77,"254 Pulteney St, Adelaide SA 5000, Australia","http://www.heybianca.com.au/",,"https://maps.google.com/?cid=12273516890396385574"
"ChIJ0yqOVYjPsGoR2Er-WkD4T6U","Thai Ayo-Thaya Adelaide",4.6,54,"94 Carrington St, Adelaide SA 5000, Australia","https://thai-ayo-thaya-adelaide.business.site/",,"https://maps.google.com/?cid=11912012494706461400"
"ChIJs3AF4NbOsGoR8sbmdmi7lUw","Osteria Oggi",4.6,563,"76 Pirie St, Adelaide SA 5000, Australia","http://osteriaoggi.com.au/",3,"https://maps.google.com/?cid=5518522975758239474"
"ChIJAwKfa8_OsGoRjgWtYvE9NQg","Chianti",4.6,495,"160 Hutt St, Adelaide SA 5000, Australia","http://www.chianti.net.au/",3,"https://maps.google.com/?cid=591447033021007246"
"ChIJS0BX2M3OsGoRFC0eUPApSnM","S2 on Flinders - Modern Thai",4.6,109,"264 Flinders St, Adelaide SA 5000, Australia","http://www.s2onflinders.com/",2,"https://maps.google.com/?cid=8307498574751345940"
"ChIJlxu3mc7OsGoRZMpBA9FG3RM","Bai Long Store",4.6,264,"80 Hutt St, Adelaide SA 5000, Australia","https://www.bailong.store/",2,"https://maps.google.com/?cid=1431378120090438244"
"ChIJTbr99MXOsGoReaG9JZ3jeME","Coffylosophy",4.6,239,"198A Hutt St, Adelaide SA 5000, Australia","http://www.coffylosophy.com.au/",2,"https://maps.google.com/?cid=13941142910607925625"
"ChIJiRUk8sXOsGoRKL5mX4HD5ic","Ballaboosta",4.6,494,"289 Halifax St, Adelaide SA 5000, Australia","http://www.ballaboosta.com.au/",2,"https://maps.google.com/?cid=2875200372541406760"
"ChIJ0Sv_6SjPsGoRcfZ5BYaAtSE","Apothecary 1878",4.6,215,"118 Hindley St, Adelaide SA 5000, Australia","http://www.theapothecary1878.com.au/",3,"https://maps.google.com/?cid=2428988887142102641"
"ChIJZapwiyjPsGoRwYBi0wykSnM","Sunny's Pizza",4.6,277,"17 Solomon St, Adelaide SA 5000, Australia","http://www.sunnys.pizza/",2,"https://maps.google.com/?cid=8307632837631312065"
"ChIJCxlIzSnPsGoRyZAXyWPzXMI","Bread & Bone",4.6,769,"15 Peel St, Adelaide SA 5000, Australia","http://www.breadandbone.com.au/",2,"https://maps.google.com/?cid=14005336551116476617"
"ChIJafCsTijPsGoRGKRRBsSDxEg","Udaberri Pintxos Y Vino",4.6,308,"11-13 Leigh St, Adelaide SA 5000, Australia","http://www.udaberri.com.au/",2,"https://maps.google.com/?cid=5243460744108942360"
"ChIJP1xHjdbOsGoRyqvpejm9F6s","Miss Mai, Gawler Place, Adelaide",4.6,132,"73 Gawler Pl, Adelaide SA 5000, Australia","https://missmai.business.site/",1,"https://maps.google.com/?cid=12328530559522941898"
"ChIJp_RPXM3OsGoRQ3bz8x2V_Wk","BRKLYN",4.6,127,"260-262 Rundle St, Adelaide SA 5000, Australia","http://www.brklyn-adl.com/",,"https://maps.google.com/?cid=7637424498969638467"
"ChIJH9wJzzLJsGoRAYajYd5Yddk","Golden Boy",4.6,461,"309 North Terrace, Adelaide SA 5000, Australia","http://golden-boy.com.au/",3,"https://maps.google.com/?cid=15669528190649599489"
"ChIJa6CftjLJsGoROq8BozJXTHo","Ayers House Weddings & Events",4.6,104,"288 North Terrace, Adelaide SA 5000, Australia","http://ayershouse.com.au/",,"https://maps.google.com/?cid=8812514445851995962"
"ChIJZevhFM3OsGoR1hH_pKRfQbA","El Cheeky Flamingo",4.6,94,"40/33 Vardon Ave, Adelaide SA 5000, Australia","http://www.thecheekyflamingo.com.au/",2,"https://maps.google.com/?cid=12700537584908964310"
"ChIJg9ErPM3OsGoRT-1n_O4LOQ8","NOLA Craft Beer & Whiskey",4.6,771,"28 Vardon Ave, Adelaide SA 5000, Australia","http://www.nolaadelaide.com/",2,"https://maps.google.com/?cid=1096921105306217807"
"ChIJx6Y7CCnPsGoR0zoKt-_hu9k","The Playford Restaurant",4.6,46,"120 North Terrace, Adelaide SA 5000, Australia","https://restaurants.accorhotels.com/gb/restaurant-8789_R001-the-playford-restaurant-adelaide.shtml",2,"https://maps.google.com/?cid=15689382146559589075"
"ChIJf3nmbdXJsGoRwHGMFnMFxww","Coconut Estate Eatery",4.6,142,"5/11 O'Connell St, North Adelaide SA 5006, Australia","https://www.facebook.com/coconutestateeatery/",,"https://maps.google.com/?cid=920710640678236608"
"ChIJZ2OovdfIsGoRmWXt6s51V5Q","Zaep Tastes of Thailand",4.6,104,"22 O'Connell St, North Adelaide SA 5006, Australia","http://zaepthailand.com.au/",2,"https://maps.google.com/?cid=10689141772152300953"
"ChIJbzbikSTJsGoRbql7PvhA5uY","THE SPOT ON MELBOURNE",4.6,89,"133 Melbourne St, North Adelaide SA 5006, Australia",,,"https://maps.google.com/?cid=16638057308311234926"
"ChIJ-_GTNSPJsGoRL1g3RDr54T4","Himalayan Kitchen",4.6,116,"73 Melbourne St, North Adelaide SA 5006, Australia","http://www.thehimalayankitchen.com/",2,"https://maps.google.com/?cid=4531176728759326767"
"ChIJn6uz2jzJsGoRAkfdyT-rBdw","Yakitori Takumi",4.6,173,"60/55 Melbourne St, North Adelaide SA 5006, Australia",,3,"https://maps.google.com/?cid=15854266353685710594"
"ChIJfxLAC0HPsGoR728Qf8p9KOw","Plate and a Half",4.6,56,"6/34 Henley Beach Rd, Mile End SA 5031, Australia","http://plateandahalf.com.au/",1,"https://maps.google.com/?cid=17016989500688068591"
"ChIJny3iv2fPsGoRbcbqzanF6UE","Parwana Afghan Kitchen",4.6,429,"124B Henley Beach Rd, Torrensville SA 5031, Australia","http://www.parwana.com.au/",2,"https://maps.google.com/?cid=4749544615133759085"
"ChIJCdbTH2fPsGoRgSNMSkhQA_M","Francescos Osteria",4.6,85,"146b Henley Beach Rd, Torrensville SA 5031, Australia","http://www.francescososteria.com/",2,"https://maps.google.com/?cid=17510928047560991617"
"ChIJF9RmSUjPsGoRMhwXdVeoO8k","Vietnam Village Restaurant",4.6,154,"2 Smith St, Thebarton SA 5031, Australia","http://www.vietnamvillage.com.au/",2,"https://maps.google.com/?cid=14500368518829513778"
