name,rating,user_ratings_total,address,price_level,url
Absinthia Bar,4.8,82,"82 Rose St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=13063918166463886666
Anatolia Tantuni,4.8,210,"15 Johnston St, Fitzroy VIC 3065, Australia",1,https://maps.google.com/?cid=16286143534963624286
GOON BBQ,4.8,79,"270 Smith St, Collingwood VIC 3066, Australia",,https://maps.google.com/?cid=137762434688586815
Spencer & Co Wine Bar Provedore,4.8,51,"639 Rathdowne St, Carlton North VIC 3054, Australia",2,https://maps.google.com/?cid=11447928823209019478
Nomada Food and Wine,4.8,183,"412A Brunswick St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=1910088021821833398
Hellenic Souvlaki,4.8,189,"346 Brunswick St, Fitzroy VIC 3065, Australia",,https://maps.google.com/?cid=542257924401563931
"Rozas Kitchen - Pizza, Burgers, Pasta",4.8,719,"147 City Rd, Southbank VIC 3006, Australia",,https://maps.google.com/?cid=8670785410050471504
Saporito Taquito,4.8,164,"16 Kavanagh St, Southbank VIC 3006, Australia",1,https://maps.google.com/?cid=3074934613994266094
Tokyo Sushi,4.8,48,"60 Bridge Rd, Richmond VIC 3121, Australia",,https://maps.google.com/?cid=1873781419341199862
Big Dog's Deli,4.8,146,"327 Lennox St, Richmond VIC 3121, Australia",,https://maps.google.com/?cid=15081718261806358475
Amarillo,4.7,126,"149 Brunswick St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=7341561910208624858
La Niche Cafe,4.7,111,"67 Smith St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=1287015794690579015
Neko Neko,4.7,282,"83A Smith St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=16339834893845753150
Proud Sprout,4.7,48,"76 Smith St, Collingwood VIC 3066, Australia",,https://maps.google.com/?cid=1463447339461691134
Vung Tau Restaurant,4.7,40,"140 Victoria St, Richmond VIC 3121, Australia",1,https://maps.google.com/?cid=17297413366209808549
Bon Ap' Petit Bistro,4.7,389,"193 Brunswick St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=17493463962392554810
Henry's Burgers,4.7,54,"275 Brunswick St, Fitzroy VIC 3065, Australia",,https://maps.google.com/?cid=15994537463644626851
Hinoki Japanese Pantry,4.7,374,"279 Smith St, Fitzroy VIC 3065, Australia",,https://maps.google.com/?cid=15779843875299668951
Carlton Wine Room,4.7,312,"172-174 Faraday St, Carlton VIC 3053, Australia",3,https://maps.google.com/?cid=10822008533966336188
Farro Pizzeria Fitzroy,4.7,112,"301 Brunswick St, Fitzroy VIC 3065, Australia",,https://maps.google.com/?cid=8118645544163456035
Fina's 2,4.7,249,"339 Brunswick St, Fitzroy VIC 3065, Australia",1,https://maps.google.com/?cid=12349292408988164988
