Name,Rating,Number of Reviews,Ranking,Address,Website,Type,Tag
Pickle in the Middle - Unley Cafe,4.5,209,940.5,"134 Unley Rd, Unley SA 5061, Australia",http://pickleinthemiddle.com.au/,Coffee,
Zambrero North Adelaide,4.5,193,868.5,"32 O'Connell St, North Adelaide SA 5006, Australia",https://goo.gl/gSUzeR,Restaurant,Mexico
Ban Ban (ADL),4.5,192,864,"145 Franklin St, Adelaide SA 5000, Australia",http://ban-ban.com.au/,Restaurant,Korean Cuisine
Lantern by Nu,4.6,185,851,"10 Selby St, Adelaide SA 5000, Australia",http://www.lanternbynu.com.au/,Restaurant,Thailand
Thea Tea Shop,4.8,177,849.6,"110 Gawler Pl, Adelaide SA 5000, Australia",http://www.theateashop.com.au/,Restaurant,Vegetarian
Thai by 3 Monkeys,4.5,181,814.5,"33 O'Connell St, Adelaide N SA 5006, Australia",,Restaurant,Thailand
Napoli Wood Fired Pizzeria,4.5,180,810,"2/127 Henley Beach Rd, Mile End SA 5031, Australia",http://napolipizzeria.com.au/,Restaurant,Pizza
Delicatessen Kitchen & Bar,4.6,175,805,"12 Waymouth St, Adelaide SA 5000, Australia",http://delicatessenbar.com.au/,Restaurant,French
Hut & Soul,4.5,178,801,"310 Pulteney St, Adelaide SA 5000, Australia",https://www.hutandsoul.com.au/,Restaurant,Malasia
Yakitori Takumi,4.6,173,795.8,"60/55 Melbourne St, North Adelaide SA 5006, Australia",,Restaurant,Janpanese
Orana,4.5,175,787.5,"1/285 Rundle St, Adelaide SA 5000, Australia",http://restaurantorana.com/,Restaurant,
Est Ovest Osteria,4.5,174,783,"shop 1/111 Angas St, Adelaide SA 5000, Australia",http://estovest.com.au/,Restaurant,Italian
Blue and White Cafe,4.5,173,778.5,"43 O'Connell St, North Adelaide SA 5006, Australia",,Restaurant,Take away
Core 51,4.7,163,766.1,"180/188 Grote St, Adelaide SA 5000, Australia",http://www.core51.com.au/,CS Game,
Hong Kee Restaurant,4.5,165,742.5,"216-218 Morphett St, Adelaide SA 5000, Australia",http://hongkee.wixsite.com/hongkee,Restaurant,China
Shiki Japanese Restaurant,4.5,158,711,"Upper Lobby, North Terrace, Adelaide SA 5000, Australia",https://www.icadelaide.com.au/dining/shiki-japanese/,Restaurant,Japanese
Vietnam Village Restaurant,4.6,153,703.8,"2 Smith St, Thebarton SA 5031, Australia",http://www.vietnamvillage.com.au/,Restaurant,Vietnam
Mother Vine,4.5,148,666,"22-26 Vardon Ave, Adelaide SA 5000, Australia",http://www.mothervine.com.au/,Bar,
Coconut Estate Eatery,4.6,142,653.2,"5/11 O'Connell St, North Adelaide SA 5006, Australia",https://www.facebook.com/coconutestateeatery/,Restaurant,Brunch
EST Pizzeria,4.5,142,639,"30 East Terrace, Adelaide SA 5000, Australia",http://www.estpizzeria.com.au/,Restaurant,Pizza
African Village Centre Restaurant,4.7,132,620.4,"2A Northcote St, Torrensville SA 5031, Australia",http://www.africanvillage-restaurant.com/,Restaurant,Africa
The Lost Deli,4.7,130,611,"38 Charles St, Norwood SA 5067, Australia",https://thelostdeli.business.site/,Restaurant,Deli
"Miss Mai, Gawler Place, Adelaide",4.6,132,607.2,"73 Gawler Pl, Adelaide SA 5000, Australia",https://missmai.business.site/,Restaurant,Sanwich
Nishiki cafe& Izakaya,4.6,131,602.6,"21 Sturt St, Adelaide SA 5000, Australia",https://m.facebook.com/Nishiki-cafe-Izakaya-1711094295887110,Restaurant,Japanese
Vietnamese Laundry,4.5,130,585,"152 Sturt St, Adelaide SA 5000, Australia",,Restaurant,Vietnam
BRKLYN,4.6,127,584.2,"260-262 Rundle St, Adelaide SA 5000, Australia",http://www.brklyn-adl.com/,Bar,
K-pub,4.6,126,579.6,"167 Gouger St, Adelaide SA 5000, Australia",https://k-pub-korean-restaurant.business.site/,Restaurant,Korean Cuisine
Bakmi Lim Noodle Project,4.5,125,562.5,"4/8 Waymouth St, Adelaide SA 5000, Australia",http://www.bakmilimnoodleproject.com/,Restaurant,
Munooshi Cafe,4.5,124,558,"36 East Terrace, Adelaide SA 5000, Australia",http://www.munooshi.com/,Restaurant,Indonisia
Himalayan Kitchen,4.6,116,533.6,"73 Melbourne St, North Adelaide SA 5006, Australia",http://www.thehimalayankitchen.com/,Restaurant,Nepal
S2 on Flinders - Modern Thai,4.6,108,496.8,"264 Flinders St, Adelaide SA 5000, Australia",http://www.s2onflinders.com/,Restaurant,Thailand
Revoluci�n Mexicana ADL,4.7,105,493.5,"Central Market Arcade, Shop 47/30 Gouger St, Adelaide SA 5000, Australia",http://www.mexicana.net.au/,Restaurant,Mexico
Taste of Bollywood,4.5,108,486,"130 Port Rd, Hindmarsh SA 5007, Australia",http://tasteofbollywood.com.au/,Restaurant,Indian
Zaep Tastes of Thailand,4.6,104,478.4,"22 O'Connell St, North Adelaide SA 5006, Australia",http://zaepthailand.com.au/,Restaurant,Thailand
Kin Kin Thai Eatery,4.5,102,459,"4/242 Hutt St, Adelaide SA 5000, Australia",http://www.kinkinthaieatery.com.au/,Restaurant,Thailand
Fumo Restaurant,4.6,99,455.4,"93a Glen Osmond Rd, Eastwood SA 5063, Australia",http://www.fumocafe.com.au/,Restaurant,Italian
Laneway Espresso House,4.8,93,446.4,"4/10 Ebenezer Pl, Adelaide SA 5000, Australia",https://orders557.wixsite.com/laneway,Coffee,
Vego and Loven It,4.7,92,432.4,"240 Rundle St, Adelaide SA 5000, Australia",https://m.facebook.com/pages/Vego-n-Lovin-It/160230127342311,Restaurant,Vegetarian
New Local Eatery,4.6,92,423.2,"120 Port Rd, Hindmarsh SA 5007, Australia",http://newlocaleatery.com.au/,Restaurant,
Zenhouse Tea Corner,4.5,93,418.5,"17-19 Bent St, Adelaide SA 5000, Australia",http://zenhouse.com.au/,Restaurant,Vegetarian
El Cheeky Flamingo,4.5,93,418.5,"40/33 Vardon Ave, Adelaide SA 5000, Australia",http://www.thecheekyflamingo.com.au/,Bar,Cocktail
THE SPOT ON MELBOURNE,4.6,89,409.4,"133 Melbourne St, North Adelaide SA 5006, Australia",,Restaurant,Vietnam
Cafe Outside The Square,4.7,87,408.9,"34 Whitmore Square, Adelaide SA 5000, Australia",https://www.cafeoutsidethesquare.org.au/,Coffee,
Mimasu,4.6,88,404.8,"411 King William St, Adelaide SA 5000, Australia",https://www.mimasu.com.au/,Restaurant,Japanese
Prezzo Restaurant,4.5,89,400.5,"173 Hutt St, Adelaide SA 5000, Australia",http://prezzo.com.au/,Restaurant,
Roll In Saigon,4.8,82,393.6,"126 Goodwood Rd, Goodwood SA 5034, Australia",,Restaurant,Vietnam
